surveyid,transectid,surveydate,ocean,country,"folder_name","lat_start","lng_start","lat_end","lng_end","pr_hard_coral","pr_algae","pr_soft_coral","pr_oth_invert","pr_other"
38005,38005,20150817,PAC,USA,"PAC_USA_38005_201508",19.797543,-156.026113,19.793122,-156.036136,0.2371,0.3165,NULL,0.0097,0.4366
38006,38006,20150817,PAC,USA,"PAC_USA_38006_201508",19.651626,-156.031134,19.646677,-156.01927,0.3261,0.6454,NULL,0.0085,0.0199
38007,38007,20150818,PAC,USA,"PAC_USA_38007_201508",20.178224,-155.902431,20.166351,-155.900269,0.1372,0.7931,NULL,0.0111,0.0588
38008,38008,20150818,PAC,USA,"PAC_USA_38008_201508",20.030918,-155.835672,20.025155,-155.83106,0.1228,0.7272,NULL,0.0139,0.1362
38009,38009,20150819,PAC,USA,"PAC_USA_38009_201508",19.969931,-155.848263,19.962311,-155.859239,0.3027,0.6605,NULL,0.0142,0.0226
38010,38010,20150819,PAC,USA,"PAC_USA_38010_201508",19.926226,-155.894271,19.916028,-155.898748,0.2851,0.621,NULL,0.0189,0.0748
38011,38011,20150819,PAC,USA,"PAC_USA_38011_201508",19.860853,-155.931018,19.852703,-155.934966,0.2311,0.5399,NULL,0.0081,0.2209
38012,38012,20150820,PAC,USA,"PAC_USA_38012_201508",19.374582,-155.898349,19.362512,-155.893009,0.159,0.7724,NULL,0.0046,0.0641
38013,38013,20150820,PAC,USA,"PAC_USA_38013_201508",19.486888,-155.951151,19.496354,-155.949151,0.2769,0.6936,NULL,0.0096,0.02
38014,38014,20150820,PAC,USA,"PAC_USA_38014_201508",19.583411,-155.969713,19.593925,-155.973628,0.4384,0.4062,NULL,0.0069,0.1485
38016,38016,20150823,PAC,USA,"PAC_USA_38016_201508",20.9244,-156.925469,20.923201,-156.910925,0.057,0.8769,NULL,0.0007,0.0656
38017,38017,20150823,PAC,USA,"PAC_USA_38017_201508",20.873178,-156.837805,20.866566,-156.830403,0.6313,0.2519,NULL,0.0102,0.1064
38018,38018,20150823,PAC,USA,"PAC_USA_38018_201508",20.841475,-156.812642,20.832051,-156.806371,0.6624,0.2968,NULL,0.0078,0.033
38019,38019,20150824,PAC,USA,"PAC_USA_38019_201508",21.039452,-156.902193,21.037934,-156.890627,0.5569,0.4179,NULL,0.0113,0.0139
38020,38020,20150824,PAC,USA,"PAC_USA_38020_201508",21.058603,-156.798187,21.064322,-156.787873,0.0422,0.8138,NULL,0.0044,0.1394
38021,38021,20150824,PAC,USA,"PAC_USA_38021_201508",21.104739,-156.741221,21.108018,-156.74222,0.1477,0.7478,NULL,0.008,0.0966
38022,38022,20150825,PAC,USA,"PAC_USA_38022_201508",21.083665,-157.150572,21.083135,-157.136362,0.5323,0.4385,NULL,0.0087,0.0205
38023,38023,20150825,PAC,USA,"PAC_USA_38023_201508",21.082852,-157.099556,21.081118,-157.087807,0.4336,0.4851,NULL,0.007,0.0744
38024,38024,20150825,PAC,USA,"PAC_USA_38024_201508",21.079934,-157.041045,21.082815,-157.057218,0.4406,0.386,NULL,0.0145,0.1591
38025,38025,20150826,PAC,USA,"PAC_USA_38025_201508",21.069592,-157.0123,21.06731,-156.998323,0.1096,0.7675,NULL,0.0014,0.1212
38026,38026,20150826,PAC,USA,"PAC_USA_38026_201508",21.061655,-156.973745,21.0609,-156.968304,0.4361,0.4028,NULL,0.002,0.1592
38027,38019,20150826,PAC,USA,"PAC_USA_38027_201508",21.038748,-156.900218,21.03574,-156.887503,0.5956,0.3903,NULL,0.0084,0.0055
38028,38028,20150827,PAC,USA,"PAC_USA_38028_201508",20.619538,-156.218398,20.611903,-156.230345,0.1465,0.4779,NULL,0.0131,0.3624
38029,38029,20150827,PAC,USA,"PAC_USA_38029_201508",20.582187,-156.313457,20.583232,-156.324394,0.1983,0.757,NULL,0.0113,0.0332
38030,38030,20150827,PAC,USA,"PAC_USA_38030_201508",20.574434,-156.376565,20.577626,-156.387306,0.1005,0.8239,NULL,0.0176,0.0578
38031,38031,20150828,PAC,USA,"PAC_USA_38031_201508",20.989429,-156.536032,20.987605,-156.530757,0.0792,0.8869,NULL,0.0022,0.0317
38032,38032,20150828,PAC,USA,"PAC_USA_38032_201508",20.956717,-156.514998,20.965172,-156.523741,0.0467,0.8775,NULL,0.0042,0.0715
38033,38033,20150828,PAC,USA,"PAC_USA_38033_201508",20.905844,-156.453429,20.907045,-156.463992,0.4265,0.5281,NULL,0.0175,0.0278
38034,38034,20150829,PAC,USA,"PAC_USA_38034_201508",20.658576,-156.444205,20.656621,-156.445057,0.0711,0.6206,NULL,0.0014,0.3067
38035,38035,20150829,PAC,USA,"PAC_USA_38035_201508",20.703612,-156.450194,20.703153,-156.450556,0.5112,0.4406,NULL,0.0218,0.0265
38036,38036,20150829,PAC,USA,"PAC_USA_38036_201508",20.774827,-156.527775,20.777245,-156.541104,0.1959,0.733,NULL,0.0131,0.0579
38037,38037,20150830,PAC,USA,"PAC_USA_38037_201508",20.779682,-156.820524,20.767431,-156.82738,0.2628,0.6412,NULL,0.012,0.0839
38038,38038,20150830,PAC,USA,"PAC_USA_38038_201508",20.753954,-156.85579,20.7523,-156.862388,0.0554,0.3502,NULL,0.0028,0.5914
38039,38039,20150830,PAC,USA,"PAC_USA_38039_201508",20.735458,-156.889633,20.734519,-156.889594,0.3411,0.6362,NULL,0.0066,0.0163
